id,productid,quantity,price,transaction_price,outbidstate,createtime
1874664431551782914,1820711111772930050,600,170,210.0,0,2/1/2025 11:50:05
1874666564615413761,1716283930075017218,20000,700,,1,2/1/2025 11:58:33
1874668143049449473,1749708581027266561,20000,320,,1,2/1/2025 12:04:50
1874669283954663425,1868477355743612930,5000,330,,1,2/1/2025 12:09:22
1874670382191222785,1724003476613427201,20000,300,,1,2/1/2025 12:13:43
1874718783377252353,1749708581027266561,20000,280,285.0,0,2/1/2025 15:26:03
1874721463587840002,1716283930075017218,20000,650,665.0,0,2/1/2025 15:36:42
1874725754201448449,1868477355743612930,5000,280,,1,2/1/2025 15:53:44
1874729205287362562,1724003476613427201,20000,260,280.0,0,2/1/2025 16:07:27
1875010175412514817,1655436434881122305,6000,1000,,1,3/1/2025 10:43:56
1875055294861848577,1655436434881122305,6000,950,1001.0,0,3/1/2025 13:43:13
1875062380085686274,1868477355743612930,7000,250,250.0,0,3/1/2025 14:11:23
1876110526890954754,1716283930075017218,30000,610,685.0,0,6/1/2025 11:36:21
1876143996212137985,1749708581027266561,30000,305,,1,6/1/2025 13:49:20
1876148223172988929,1868477355743612930,7000,270,,1,6/1/2025 14:06:08
1876150444228923393,1724003476613427201,30000,250,260.0,0,6/1/2025 14:14:58
1876163122792026114,1749708581027266561,30000,270,270.0,0,6/1/2025 15:05:20
1876166459537018882,1868477355743612930,7000,220,,1,6/1/2025 15:18:36
1876477000604246018,1868477355743612930,10000,200,205.0,0,7/1/2025 11:52:35
1876553533012369409,1743193301971152898,2500,92,,1,7/1/2025 16:56:42
1876819985237807106,1743193301971152898,2500,84,84.0,0,8/1/2025 10:35:29
1876867654345822210,1710568944212189186,3000,931,,1,8/1/2025 13:44:54
1876882760647577601,1710568944212189186,3000,903,938.0,0,8/1/2025 14:44:55
1876899820253483010,1833746528491335682,3000,1000,,1,8/1/2025 15:52:43
1877162341086617602,1833746528491335682,3000,970,970.0,0,9/1/2025 09:15:52
1877164658640904193,1655436434881122305,8000,1000,1000.0,0,9/1/2025 09:25:05
1877190342717300737,1868477355743612930,10000,205,,1,9/1/2025 11:07:09
1877191661247094786,1716283930075017218,30000,620,670.0,0,9/1/2025 11:12:23
1877194588921618434,1726519887646756866,10000,600,,1,9/1/2025 11:24:01
1877237533683019778,1868477355743612930,10000,160,160.0,0,9/1/2025 14:14:39
1877246514593853442,1726519887646756866,10000,560,,1,9/1/2025 14:50:21
1877260600291422210,1726519887646756866,10000,520,520.0,0,9/1/2025 15:46:19
1878273090156519426,1726519887646756866,7000,500,,1,12/1/2025 10:49:36
1878273120674275330,1868477355743612930,7000,160,,1,12/1/2025 10:49:43
1878273161510019073,1749708581027266561,40000,270,295.0,0,12/1/2025 10:49:53
1878294636665266178,1726519887646756866,7000,460,475.0,0,12/1/2025 12:15:13
1878314631776460801,1868477355743612930,7000,130,180.0,0,12/1/2025 13:34:40
1878609483160379393,1655436434881122305,8000,1000,,1,13/1/2025 09:06:18
1878627206271623169,1655436434881122305,8000,950,997.0,0,13/1/2025 10:16:46
1879078744496656386,1868477355743612930,5000,180,,1,14/1/2025 16:10:59
1879080726322073602,1726519887646756866,5000,540,,1,14/1/2025 16:18:51
1879336398531870721,1868477355743612930,5000,160,,1,15/1/2025 09:14:49
1879338729709256705,1727877321992773634,30000,237,,1,15/1/2025 09:24:04
